Order_ID,Order_Date,Customer_ID,Customer_Name,Gender,Age,Category,Product,Quantity,Price,Payment_Mode,Order_Status,City,Total_Amount
500031,22:48.1,39961,Customer_39961,Male,24,Fashion,Lipstick,1,29143,Net Banking,Delivered,Hyderabad,29143
500032,31:33.7,42398,Customer_42398,Female,58,Sports,Mobile,2,21529,Cash on Delivery,Delivered,Pune,43058
500033,40:19.3,49540,Customer_49540,Male,63,Home & Kitchen,Mobile,3,38606,Cash on Delivery,Delivered,Mumbai,115818
500034,49:04.9,10432,Customer_10432,Female,57,Sports,Headphones,4,62923,UPI,Returned,Hyderabad,251692
500035,57:50.5,46843,Customer_46843,Male,59,Beauty,Mixer,2,26915,Cash on Delivery,Delivered,Bangalore,53830
500036,06:36.2,26927,Customer_26927,Male,50,Home & Kitchen,Shoes,4,29651,UPI,Delivered,Chennai,118604
500037,15:21.8,19288,Customer_19288,Female,56,Home & Kitchen,T-Shirt,1,7170,Net Banking,Cancelled,Hyderabad,7170
500038,24:07.4,44247,Customer_44247,Male,60,Home & Kitchen,Lipstick,2,8476,Net Banking,Delivered,Pune,16952
500039,32:53.0,26278,Customer_26278,Male,31,Electronics,Shoes,4,7536,Credit Card,Cancelled,Gurgaon,30144
500040,41:38.6,44106,Customer_44106,Female,23,Beauty,Mixer,1,43557,Cash on Delivery,Returned,Noida,43557
500041,50:24.2,21033,Customer_21033,Male,56,Sports,Mobile,3,23035,Net Banking,Delivered,Pune,69105
500042,59:09.8,44381,Customer_44381,Female,34,Home & Kitchen,Mixer,4,38944,Cash on Delivery,Delivered,Pune,155776
500043,07:55.4,29483,Customer_29483,Female,54,Home & Kitchen,Mobile,2,18137,Debit Card,Returned,Bangalore,36274
500044,16:41.0,11845,Customer_11845,Female,45,Fashion,Mixer,2,64744,Debit Card,Delivered,Chennai,129488
500045,25:26.6,19553,Customer_19553,Male,39,Sports,Mobile,1,40417,Credit Card,Returned,Noida,40417
500046,34:12.2,45438,Customer_45438,Female,19,Fashion,Mixer,1,11694,Debit Card,Returned,Gurgaon,11694
500047,42:57.8,39556,Customer_39556,Female,54,Beauty,T-Shirt,2,37787,Credit Card,Delivered,Mumbai,75574
500048,51:43.4,39994,Customer_39994,Female,38,Beauty,Headphones,1,58371,Credit Card,Returned,Chennai,58371
500049,00:29.0,38115,Customer_38115,Female,43,Electronics,Laptop,1,61534,UPI,Delivered,Noida,61534
500050,09:14.6,10016,Customer_10016,Male,23,Beauty,Laptop,4,46394,Debit Card,Delivered,Delhi,185576
500051,18:00.2,37713,Customer_37713,Female,39,Home & Kitchen,Headphones,4,64508,Cash on Delivery,Delivered,Bangalore,258032
500052,26:45.8,22314,Customer_22314,Male,19,Beauty,Laptop,4,45326,Credit Card,Delivered,Gurgaon,181304
500053,35:31.4,21632,Customer_21632,Male,39,Sports,T-Shirt,3,36364,Net Banking,Delivered,Noida,109092
500054,44:17.0,23784,Customer_23784,Female,58,Electronics,Shoes,1,852,Debit Card,Returned,Hyderabad,852
500055,53:02.6,20120,Customer_20120,Female,21,Fashion,Headphones,1,12727,Cash on Delivery,Delivered,Mumbai,12727
500056,01:48.2,11307,Customer_11307,Female,32,Beauty,Shoes,2,17031,Debit Card,Cancelled,Chennai,34062
500057,10:33.8,19833,Customer_19833,Male,26,Fashion,Laptop,1,55781,Cash on Delivery,Delivered,Hyderabad,55781
500058,19:19.4,11047,Customer_11047,Female,25,Beauty,Mobile,1,36974,Credit Card,Delivered,Chennai,36974
500059,28:05.1,29432,Customer_29432,Female,47,Beauty,Watch,1,13143,Cash on Delivery,Delivered,Pune,13143
500060,36:50.7,27535,Customer_27535,Female,22,Electronics,Lipstick,2,68654,Debit Card,Delivered,Chennai,137308
500061,45:36.3,46197,Customer_46197,Female,59,Beauty,Shoes,1,33290,Net Banking,Cancelled,Pune,33290
500062,54:21.9,26540,Customer_26540,Male,39,Fashion,Watch,1,48036,UPI,Delivered,Pune,48036
500063,03:07.5,25270,Customer_25270,Male,35,Beauty,Laptop,1,50372,Cash on Delivery,Delivered,Delhi,50372
500064,11:53.1,30794,Customer_30794,Male,48,Home & Kitchen,Watch,3,27443,Net Banking,Delivered,Chennai,82329
500065,20:38.7,20836,Customer_20836,Male,41,Sports,Mobile,2,60217,UPI,Cancelled,Gurgaon,120434
500066,29:24.3,37815,Customer_37815,Female,56,Sports,Watch,3,41313,Credit Card,Delivered,Delhi,123939
500067,38:09.9,27033,Customer_27033,Male,35,Sports,Headphones,1,58182,Credit Card,Delivered,Gurgaon,58182
500068,46:55.5,19505,Customer_19505,Male,50,Electronics,Headphones,3,26985,Debit Card,Delivered,Noida,80955
500069,55:41.1,44448,Customer_44448,Female,20,Beauty,Laptop,1,3756,Debit Card,Delivered,Pune,3756
500070,04:26.7,20992,Customer_20992,Male,55,Sports,Laptop,1,20998,Net Banking,Returned,Chennai,20998
500071,13:12.3,34346,Customer_34346,Male,39,Home & Kitchen,Mobile,2,66225,Credit Card,Cancelled,Bangalore,132450
500072,21:57.9,14040,Customer_14040,Female,48,Beauty,Laptop,2,16751,Net Banking,Cancelled,Bangalore,33502
500073,30:43.5,10244,Customer_10244,Male,22,Beauty,Mixer,3,60983,Credit Card,Delivered,Pune,182949
500074,39:29.1,44141,Customer_44141,Male,61,Sports,Headphones,3,8294,Cash on Delivery,Delivered,Delhi,24882
500075,48:14.7,43983,Customer_43983,Male,26,Fashion,Watch,3,44356,Cash on Delivery,Delivered,Chennai,133068
500076,57:00.3,33855,Customer_33855,Female,37,Home & Kitchen,Watch,4,10110,UPI,Delivered,Hyderabad,40440
500077,05:45.9,48617,Customer_48617,Male,45,Electronics,Headphones,2,65122,Net Banking,Returned,Mumbai,130244
500078,14:31.5,15272,Customer_15272,Male,40,Home & Kitchen,Watch,2,4607,Debit Card,Delivered,Chennai,9214
500079,23:17.1,47560,Customer_47560,Female,28,Electronics,Lipstick,3,41068,Credit Card,Delivered,Pune,123204
500080,32:02.7,19538,Customer_19538,Male,24,Fashion,Lipstick,4,52534,Cash on Delivery,Cancelled,Gurgaon,210136
500081,40:48.3,23682,Customer_23682,Female,38,Electronics,Shoes,3,17596,UPI,Returned,Chennai,52788
500082,49:34.0,20062,Customer_20062,Female,58,Electronics,Headphones,2,53207,Cash on Delivery,Delivered,Bangalore,106414
500083,58:19.6,43230,Customer_43230,Female,50,Fashion,Lipstick,4,25406,Net Banking,Delivered,Hyderabad,101624
500084,07:05.2,39237,Customer_39237,Male,63,Fashion,Headphones,2,24941,UPI,Returned,Bangalore,49882
500085,15:50.8,14060,Customer_14060,Male,32,Sports,T-Shirt,2,5031,Credit Card,Delivered,Hyderabad,10062
500086,24:36.4,40870,Customer_40870,Male,59,Home & Kitchen,Headphones,4,14100,UPI,Delivered,Gurgaon,56400
500087,33:22.0,43484,Customer_43484,Female,31,Home & Kitchen,Lipstick,4,29806,Net Banking,Returned,Noida,119224
500088,42:07.6,32792,Customer_32792,Male,20,Home & Kitchen,T-Shirt,3,21683,Debit Card,Delivered,Pune,65049
500089,50:53.2,16222,Customer_16222,Male,25,Sports,Headphones,2,40688,Net Banking,Delivered,Delhi,81376
500090,59:38.8,45529,Customer_45529,Female,43,Electronics,Mixer,3,32523,Credit Card,Delivered,Gurgaon,97569
500091,08:24.4,11068,Customer_11068,Female,41,Fashion,Headphones,4,1541,UPI,Delivered,Mumbai,6164
500092,17:10.0,22821,Customer_22821,Male,45,Electronics,Mixer,2,30221,Debit Card,Delivered,Gurgaon,60442
500093,25:55.6,34095,Customer_34095,Male,39,Electronics,Lipstick,2,52377,Credit Card,Delivered,Hyderabad,104754
500094,34:41.2,19765,Customer_19765,Male,34,Fashion,Mobile,2,67821,Net Banking,Returned,Bangalore,135642
500095,43:26.8,23160,Customer_23160,Female,34,Fashion,Watch,3,44645,Cash on Delivery,Returned,Chennai,133935
500096,52:12.4,13886,Customer_13886,Male,43,Home & Kitchen,Headphones,4,55153,UPI,Returned,Noida,220612
500097,00:58.0,23253,Customer_23253,Female,27,Electronics,Lipstick,4,26556,Net Banking,Delivered,Hyderabad,106224
500098,09:43.6,49482,Customer_49482,Male,49,Beauty,Mobile,3,69360,UPI,Delivered,Noida,208080
500099,18:29.2,22017,Customer_22017,Female,38,Beauty,Mobile,2,50878,Debit Card,Delivered,Mumbai,101756
500100,27:14.8,24547,Customer_24547,Male,18,Home & Kitchen,Lipstick,4,13268,Cash on Delivery,Delivered,Noida,53072
500101,36:00.4,26481,Customer_26481,Female,28,Beauty,Mixer,1,39254,Credit Card,Delivered,Mumbai,39254
500102,44:46.0,10270,Customer_10270,Male,37,Electronics,Headphones,3,11987,Debit Card,Delivered,Hyderabad,35961
500103,53:31.6,21275,Customer_21275,Female,34,Sports,Mobile,4,10368,UPI,Delivered,Noida,41472
500104,02:17.3,32808,Customer_32808,Male,63,Home & Kitchen,T-Shirt,4,23444,Credit Card,Delivered,Hyderabad,93776
500105,11:02.9,26253,Customer_26253,Female,55,Electronics,Watch,3,15914,Cash on Delivery,Delivered,Hyderabad,47742
500106,19:48.5,36315,Customer_36315,Male,37,Electronics,Laptop,4,14311,UPI,Returned,Hyderabad,57244
500107,28:34.1,25837,Customer_25837,Female,43,Sports,Watch,2,62950,UPI,Delivered,Bangalore,125900
500108,37:19.7,35183,Customer_35183,Female,24,Sports,Mobile,2,48140,Cash on Delivery,Delivered,Delhi,96280
500109,46:05.3,29795,Customer_29795,Male,45,Fashion,Headphones,2,64485,Cash on Delivery,Cancelled,Bangalore,128970
500110,54:50.9,14980,Customer_14980,Male,41,Beauty,Laptop,3,940,Credit Card,Delivered,Noida,2820
500111,03:36.5,39538,Customer_39538,Female,19,Electronics,Headphones,4,39844,Debit Card,Delivered,Gurgaon,159376
500112,12:22.1,12179,Customer_12179,Male,40,Beauty,Lipstick,4,48428,Net Banking,Cancelled,Noida,193712
500113,21:07.7,38939,Customer_38939,Female,56,Beauty,Shoes,3,17953,UPI,Delivered,Chennai,53859
500114,29:53.3,32369,Customer_32369,Female,38,Sports,T-Shirt,2,47322,UPI,Returned,Chennai,94644
500115,38:38.9,24826,Customer_24826,Male,26,Beauty,Headphones,3,36907,Net Banking,Delivered,Hyderabad,110721
500116,47:24.5,26360,Customer_26360,Male,52,Beauty,Shoes,1,21765,Credit Card,Cancelled,Hyderabad,21765
500117,56:10.1,17184,Customer_17184,Male,63,Sports,T-Shirt,4,60585,Net Banking,Delivered,Gurgaon,242340
500118,04:55.7,25238,Customer_25238,Female,46,Beauty,T-Shirt,1,29785,UPI,Delivered,Delhi,29785
500119,13:41.3,23714,Customer_23714,Male,29,Beauty,T-Shirt,3,48702,Credit Card,Delivered,Gurgaon,146106
500120,22:26.9,36795,Customer_36795,Female,26,Beauty,Headphones,3,30607,Cash on Delivery,Returned,Gurgaon,91821
500121,31:12.5,10021,Customer_10021,Female,38,Home & Kitchen,Lipstick,3,8825,UPI,Delivered,Chennai,26475
500122,39:58.1,33159,Customer_33159,Male,52,Fashion,Shoes,3,16971,Credit Card,Delivered,Noida,50913
500123,48:43.7,28353,Customer_28353,Male,35,Sports,Lipstick,2,13297,Credit Card,Cancelled,Hyderabad,26594
500124,57:29.3,32807,Customer_32807,Female,34,Fashion,Headphones,4,48802,Debit Card,Delivered,Delhi,195208
500125,06:14.9,16630,Customer_16630,Male,54,Electronics,T-Shirt,2,30270,Credit Card,Delivered,Bangalore,60540
500126,15:00.5,12034,Customer_12034,Female,42,Beauty,T-Shirt,3,28843,Credit Card,Delivered,Hyderabad,86529
500127,23:46.2,32198,Customer_32198,Female,56,Home & Kitchen,Laptop,3,9383,Debit Card,Delivered,Hyderabad,28149
500128,32:31.8,44645,Customer_44645,Female,25,Sports,Lipstick,1,19379,Cash on Delivery,Delivered,Delhi,19379
500129,41:17.4,13083,Customer_13083,Female,45,Fashion,Lipstick,3,30206,Cash on Delivery,Delivered,Chennai,90618
500130,50:03.0,26568,Customer_26568,Male,21,Sports,Lipstick,3,50971,Net Banking,Delivered,Gurgaon,152913
500131,58:48.6,49230,Customer_49230,Female,55,Sports,Laptop,3,64779,Cash on Delivery,Delivered,Hyderabad,194337
500132,07:34.2,46072,Customer_46072,Male,55,Beauty,Lipstick,3,9231,Credit Card,Returned,Bangalore,27693
500133,16:19.8,43274,Customer_43274,Female,22,Electronics,Mixer,2,67323,UPI,Delivered,Mumbai,134646
500134,25:05.4,18148,Customer_18148,Male,51,Sports,Mobile,1,16160,Net Banking,Delivered,Chennai,16160
500135,33:51.0,31530,Customer_31530,Male,60,Home & Kitchen,Mixer,2,4372,Net Banking,Delivered,Gurgaon,8744
500136,42:36.6,47775,Customer_47775,Female,56,Electronics,Laptop,2,46891,Debit Card,Delivered,Mumbai,93782
500137,51:22.2,12190,Customer_12190,Male,61,Sports,Laptop,2,10463,Net Banking,Delivered,Hyderabad,20926
500138,00:07.8,17797,Customer_17797,Female,46,Home & Kitchen,Headphones,1,56374,UPI,Returned,Noida,56374
500139,08:53.4,35388,Customer_35388,Female,49,Electronics,Lipstick,3,48719,UPI,Delivered,Delhi,146157
500140,17:39.0,13719,Customer_13719,Female,46,Fashion,Mixer,3,61223,UPI,Delivered,Noida,183669
500141,26:24.6,11742,Customer_11742,Female,40,Home & Kitchen,Mobile,3,15041,Cash on Delivery,Returned,Mumbai,45123
500142,35:10.2,43465,Customer_43465,Female,63,Beauty,Mobile,2,28281,Debit Card,Delivered,Delhi,56562
500143,43:55.8,11980,Customer_11980,Female,36,Fashion,Watch,4,57853,UPI,Delivered,Bangalore,231412
500144,52:41.4,32041,Customer_32041,Female,45,Home & Kitchen,Headphones,3,6056,Credit Card,Delivered,Hyderabad,18168
500145,01:27.0,23308,Customer_23308,Female,57,Sports,Mobile,2,40231,Cash on Delivery,Delivered,Delhi,80462
500146,10:12.6,41882,Customer_41882,Male,58,Electronics,T-Shirt,1,53057,Credit Card,Delivered,Pune,53057
500147,18:58.2,18643,Customer_18643,Female,44,Beauty,Mobile,3,46300,Net Banking,Delivered,Bangalore,138900
500148,27:43.8,24536,Customer_24536,Male,62,Beauty,Mobile,1,41467,Cash on Delivery,Delivered,Mumbai,41467
500149,36:29.4,38470,Customer_38470,Female,63,Sports,Lipstick,3,22918,UPI,Delivered,Hyderabad,68754
500150,45:15.1,29193,Customer_29193,Female,33,Fashion,Shoes,3,24171,Credit Card,Cancelled,Pune,72513
500151,54:00.7,16166,Customer_16166,Female,30,Beauty,T-Shirt,2,66458,UPI,Delivered,Hyderabad,132916
500152,02:46.3,45036,Customer_45036,Female,34,Sports,Headphones,1,43398,Cash on Delivery,Delivered,Noida,43398
500153,11:31.9,36994,Customer_36994,Male,21,Home & Kitchen,Shoes,1,33329,Debit Card,Delivered,Bangalore,33329
500154,20:17.5,44254,Customer_44254,Male,49,Electronics,Lipstick,3,36380,UPI,Delivered,Noida,109140
500155,29:03.1,15583,Customer_15583,Male,40,Electronics,Lipstick,4,31352,Debit Card,Delivered,Bangalore,125408
500156,37:48.7,32062,Customer_32062,Female,58,Sports,Headphones,4,65798,Debit Card,Delivered,Delhi,263192
500157,46:34.3,48123,Customer_48123,Male,39,Beauty,Shoes,2,49179,Cash on Delivery,Delivered,Hyderabad,98358
500158,55:19.9,25918,Customer_25918,Male,19,Fashion,Shoes,2,9263,UPI,Delivered,Mumbai,18526
500159,04:05.5,30932,Customer_30932,Male,49,Electronics,Laptop,3,38696,Cash on Delivery,Delivered,Hyderabad,116088
500160,12:51.1,37971,Customer_37971,Male,38,Electronics,Mobile,1,348,Credit Card,Delivered,Mumbai,348
500161,21:36.7,25311,Customer_25311,Male,61,Sports,Mixer,3,14018,Net Banking,Delivered,Gurgaon,42054
500162,30:22.3,14510,Customer_14510,Male,20,Electronics,Shoes,3,21776,Cash on Delivery,Delivered,Chennai,65328
500163,39:07.9,38736,Customer_38736,Female,36,Fashion,Watch,3,13471,Cash on Delivery,Cancelled,Chennai,40413
500164,47:53.5,27228,Customer_27228,Male,24,Home & Kitchen,T-Shirt,4,57724,Credit Card,Delivered,Hyderabad,230896
500165,56:39.1,23238,Customer_23238,Male,19,Fashion,Mixer,3,55871,Credit Card,Delivered,Noida,167613
500166,05:24.7,39218,Customer_39218,Male,31,Sports,Headphones,4,36142,Credit Card,Delivered,Gurgaon,144568
500167,14:10.3,20883,Customer_20883,Male,57,Beauty,T-Shirt,3,37101,Cash on Delivery,Returned,Bangalore,111303
500168,22:55.9,15169,Customer_15169,Female,23,Fashion,Laptop,2,11981,Cash on Delivery,Delivered,Delhi,23962
500169,31:41.5,33841,Customer_33841,Male,51,Home & Kitchen,Headphones,4,39009,Net Banking,Delivered,Noida,156036
500170,40:27.1,18446,Customer_18446,Male,23,Fashion,Watch,3,5699,Debit Card,Delivered,Mumbai,17097
500171,49:12.7,40776,Customer_40776,Male,44,Sports,T-Shirt,3,62231,Credit Card,Delivered,Pune,186693
500172,57:58.3,22511,Customer_22511,Male,41,Beauty,Mixer,3,64117,Debit Card,Delivered,Mumbai,192351
500173,06:44.0,33883,Customer_33883,Male,25,Beauty,Headphones,3,30256,Credit Card,Cancelled,Gurgaon,90768
500174,15:29.6,38169,Customer_38169,Female,47,Fashion,Mixer,3,5378,Debit Card,Cancelled,Gurgaon,16134
500175,24:15.2,15717,Customer_15717,Male,24,Beauty,Lipstick,4,65324,Debit Card,Delivered,Delhi,261296
500176,33:00.8,39235,Customer_39235,Female,26,Sports,Shoes,2,56179,Debit Card,Delivered,Pune,112358
500177,41:46.4,26976,Customer_26976,Female,30,Electronics,Mixer,3,23574,Cash on Delivery,Delivered,Delhi,70722
500178,50:32.0,48100,Customer_48100,Female,42,Home & Kitchen,T-Shirt,4,9032,Net Banking,Delivered,Delhi,36128
500179,59:17.6,19330,Customer_19330,Male,48,Beauty,Laptop,2,60303,Credit Card,Delivered,Mumbai,120606
500180,08:03.2,37627,Customer_37627,Female,51,Electronics,Mobile,4,38698,Credit Card,Delivered,Mumbai,154792
500181,16:48.8,33317,Customer_33317,Male,46,Home & Kitchen,Mobile,2,61595,UPI,Delivered,Gurgaon,123190
500182,25:34.4,12093,Customer_12093,Female,58,Fashion,Headphones,1,38707,Credit Card,Delivered,Delhi,38707
500183,34:20.0,19488,Customer_19488,Male,59,Sports,T-Shirt,2,2848,Credit Card,Delivered,Bangalore,5696
500184,43:05.6,11695,Customer_11695,Male,53,Electronics,Laptop,3,27309,Cash on Delivery,Cancelled,Delhi,81927
500185,51:51.2,37535,Customer_37535,Male,20,Fashion,Headphones,1,4201,Net Banking,Delivered,Noida,4201
500186,00:36.8,40196,Customer_40196,Female,58,Sports,Laptop,3,63720,Debit Card,Delivered,Bangalore,191160
500187,09:22.4,34340,Customer_34340,Female,62,Electronics,Headphones,4,1388,Debit Card,Delivered,Chennai,5552
500188,18:08.0,36860,Customer_36860,Female,31,Fashion,Mobile,2,44541,Net Banking,Delivered,Gurgaon,89082
500189,26:53.6,25076,Customer_25076,Male,23,Beauty,Shoes,4,7997,Credit Card,Delivered,Hyderabad,31988
500190,35:39.2,27263,Customer_27263,Male,44,Sports,Mixer,3,55706,Debit Card,Delivered,Delhi,167118
500191,44:24.8,30212,Customer_30212,Male,57,Sports,Laptop,2,2473,Net Banking,Delivered,Hyderabad,4946
500192,53:10.4,37365,Customer_37365,Male,43,Fashion,Watch,4,64744,Debit Card,Delivered,Bangalore,258976
500193,01:56.0,36401,Customer_36401,Male,43,Home & Kitchen,Watch,4,40871,Net Banking,Delivered,Bangalore,163484
500194,10:41.6,16036,Customer_16036,Female,31,Sports,Mixer,2,37196,Cash on Delivery,Returned,Mumbai,74392
500195,19:27.3,12500,Customer_12500,Female,18,Electronics,Laptop,2,36524,Credit Card,Cancelled,Gurgaon,73048
500196,28:12.9,41513,Customer_41513,Male,62,Beauty,Mobile,4,65530,Debit Card,Delivered,Chennai,262120
500197,36:58.5,36854,Customer_36854,Female,43,Sports,T-Shirt,3,1655,Debit Card,Delivered,Noida,4965
500198,45:44.1,17400,Customer_17400,Female,55,Sports,Mobile,3,57864,Debit Card,Delivered,Delhi,173592
500199,54:29.7,23190,Customer_23190,Male,41,Home & Kitchen,Laptop,3,64509,Debit Card,Delivered,Gurgaon,193527
500200,03:15.3,36704,Customer_36704,Female,30,Fashion,Headphones,4,61699,Cash on Delivery,Delivered,Pune,246796
500201,12:00.9,26242,Customer_26242,Female,30,Fashion,Lipstick,2,25400,UPI,Delivered,Delhi,50800
500202,20:46.5,35688,Customer_35688,Male,48,Electronics,T-Shirt,2,59974,Net Banking,Delivered,Hyderabad,119948
500203,29:32.1,39379,Customer_39379,Male,38,Electronics,Mixer,4,16384,UPI,Delivered,Delhi,65536
500204,38:17.7,21993,Customer_21993,Female,36,Beauty,T-Shirt,3,42504,UPI,Delivered,Bangalore,127512
500205,47:03.3,36339,Customer_36339,Female,32,Electronics,Mixer,2,33598,Credit Card,Delivered,Chennai,67196
500206,55:48.9,25549,Customer_25549,Female,18,Electronics,Lipstick,2,11697,Cash on Delivery,Returned,Delhi,23394
500207,04:34.5,13573,Customer_13573,Female,29,Beauty,T-Shirt,3,59033,Net Banking,Delivered,Chennai,177099
500208,13:20.1,27572,Customer_27572,Male,61,Home & Kitchen,Headphones,2,45247,Net Banking,Cancelled,Mumbai,90494
500209,22:05.7,30946,Customer_30946,Female,27,Beauty,Laptop,1,30865,Net Banking,Delivered,Pune,30865
500210,30:51.3,32173,Customer_32173,Female,33,Home & Kitchen,Watch,1,39285,UPI,Delivered,Hyderabad,39285
500211,39:36.9,20922,Customer_20922,Male,46,Fashion,T-Shirt,3,29191,Cash on Delivery,Delivered,Bangalore,87573
500212,48:22.5,49371,Customer_49371,Female,37,Sports,Headphones,3,59426,Debit Card,Delivered,Bangalore,178278
500213,57:08.1,35927,Customer_35927,Male,31,Home & Kitchen,Lipstick,2,66662,Debit Card,Delivered,Delhi,133324
500214,05:53.7,48554,Customer_48554,Male,59,Electronics,Mobile,2,22108,Debit Card,Delivered,Delhi,44216
500215,14:39.3,29687,Customer_29687,Female,38,Home & Kitchen,Mobile,1,53564,Net Banking,Delivered,Delhi,53564
500216,23:24.9,45057,Customer_45057,Male,24,Sports,Headphones,1,48994,Debit Card,Delivered,Delhi,48994
500217,32:10.5,23361,Customer_23361,Male,58,Sports,Mobile,2,9640,Debit Card,Delivered,Gurgaon,19280
500218,40:56.1,10691,Customer_10691,Male,21,Fashion,Mixer,4,38488,Credit Card,Delivered,Hyderabad,153952
500219,49:41.8,16079,Customer_16079,Female,39,Fashion,Lipstick,2,11862,Cash on Delivery,Delivered,Pune,23724
500220,58:27.4,35901,Customer_35901,Male,20,Fashion,Shoes,1,20816,Credit Card,Delivered,Mumbai,20816
500221,07:13.0,11528,Customer_11528,Male,64,Home & Kitchen,Headphones,4,32785,UPI,Delivered,Pune,131140
500222,15:58.6,24090,Customer_24090,Male,61,Beauty,Lipstick,2,63800,Credit Card,Delivered,Delhi,127600
500223,24:44.2,14721,Customer_14721,Female,54,Sports,Shoes,3,32642,Credit Card,Delivered,Bangalore,97926
500224,33:29.8,37357,Customer_37357,Female,24,Electronics,Mixer,2,68205,UPI,Delivered,Delhi,136410
500225,42:15.4,47940,Customer_47940,Female,60,Electronics,T-Shirt,1,53978,Credit Card,Delivered,Mumbai,53978
500226,51:01.0,28556,Customer_28556,Male,54,Beauty,Shoes,1,47698,Debit Card,Returned,Noida,47698
500227,59:46.6,14421,Customer_14421,Female,56,Home & Kitchen,Shoes,4,51053,Debit Card,Delivered,Mumbai,204212
500228,08:32.2,40104,Customer_40104,Female,38,Electronics,Mixer,2,19774,Debit Card,Delivered,Mumbai,39548
500229,17:17.8,13606,Customer_13606,Female,30,Fashion,T-Shirt,3,4451,Debit Card,Cancelled,Bangalore,13353
500230,26:03.4,13453,Customer_13453,Female,33,Fashion,Lipstick,1,6653,Cash on Delivery,Delivered,Gurgaon,6653
500231,34:49.0,31636,Customer_31636,Male,22,Beauty,Laptop,3,56514,Cash on Delivery,Delivered,Pune,169542
500232,43:34.6,41161,Customer_41161,Female,54,Electronics,T-Shirt,4,65669,Debit Card,Delivered,Pune,262676
